drug_abbreviation,page,context
RTV,17,"increased bleeding risk, do not use 
ticagrelor with strong CYP3A inhibitors, particularly COBI and RTV.  
• Clopidogrel, vorapaxar:  Do not coadminister.  
• Prasugrel:  No dose adjustments are neces"
COBI,17,"To avoid increased bleeding risk, do not use 
ticagrelor with strong CYP3A inhibitors, particularly COBI and RTV.  
• Clopidogrel, vorapaxar:  Do not coadminister.  
• Prasugrel:  No dose adjustments"
RTV,17,"increased bleeding risk, do not use 
ticagrelor with strong CYP3A inhibitors, particularly COBI and RTV.  
• Clopidogrel, vorapaxar:  Do not coadminister.  
• Prasugrel:  No dose adjustments are neces"
COBI,17,"To avoid increased bleeding risk, do not use 
ticagrelor with strong CYP3A inhibitors, particularly COBI and RTV.  
• Clopidogrel, vorapaxar:  Do not coadminister.  
• Prasugrel:  No dose adjustments"
RTV,17,"increased bleeding risk, do not use 
ticagrelor with strong CYP3A inhibitors, particularly COBI and RTV.  
• Clopidogrel, vorapaxar:  Do not coadminister.  
• Prasugrel:  No dose adjustments are neces"
ATV,17,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 17 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,18,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 18 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,18,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 18 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
RTV,18,"Boosted PIs may moderately increase haloperidol 
concentrations. 
• Aripiprazole, brexpiprazole:  RTV-boosted PIs may increase 
aripiprazole and brexpiprazole levels. 
• Risperidone: Boosted PIs may"
ATV,18,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 18 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
