drug_abbreviation,page,context
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,47,"effect; monitor for efficacy.  
Hormonal contraceptives  Information is based on what is known with EFV drug 
interactions.  • Etonogestrel: No data available; consider alternative or 
additional cont"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ATV,47,"CYP3A, lowering daclatasvir levels.  Increase dose of daclatasvir to 90  mg per day.  
Atazanavir (ATV)  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4."
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
COBI,47,")  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4.  
• COBI and ATV are substrates and inhibitors of CYP3A4.  • Administration with RTV -boosted ATV result"
ATV,47,"CYP3A, lowering daclatasvir levels.  Increase dose of daclatasvir to 90  mg per day.  
Atazanavir (ATV)  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4."
RTV,47,"inducer of CYP3A4.  
• COBI and ATV are substrates and inhibitors of CYP3A4.  • Administration with RTV -boosted ATV results in decreased ATV 
exposure, but decrease is not considered relevant; no dos"
ATV,47,"CYP3A, lowering daclatasvir levels.  Increase dose of daclatasvir to 90  mg per day.  
Atazanavir (ATV)  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4."
ATV,47,"CYP3A, lowering daclatasvir levels.  Increase dose of daclatasvir to 90  mg per day.  
Atazanavir (ATV)  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4."
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
COBI,47,")  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4.  
• COBI and ATV are substrates and inhibitors of CYP3A4.  • Administration with RTV -boosted ATV result"
COBI,47,")  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4.  
• COBI and ATV are substrates and inhibitors of CYP3A4.  • Administration with RTV -boosted ATV result"
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ATV,47,"CYP3A, lowering daclatasvir levels.  Increase dose of daclatasvir to 90  mg per day.  
Atazanavir (ATV)  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4."
ETR,47,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 47 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ATV,47,"CYP3A, lowering daclatasvir levels.  Increase dose of daclatasvir to 90  mg per day.  
Atazanavir (ATV)  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4."
ATV,47,"CYP3A, lowering daclatasvir levels.  Increase dose of daclatasvir to 90  mg per day.  
Atazanavir (ATV)  
[Marzolini, et al. 2016; Orrell, 
et al. 2015]  • ETR is a substrate and inducer of CYP3A4."
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DTG,48,"ee prescribing information)  
Class or Drug  Mechanism of Action  Clinical Comments  
Dolutegravir (DTG)  
[Green, et al. 2017]  • ETR induces UGT1A1 and CYP3A enzymes.  
• DTG is a substrate of UGT1A"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DTG,48,"ee prescribing information)  
Class or Drug  Mechanism of Action  Clinical Comments  
Dolutegravir (DTG)  
[Green, et al. 2017]  • ETR induces UGT1A1 and CYP3A enzymes.  
• DTG is a substrate of UGT1A"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DTG,48,"ee prescribing information)  
Class or Drug  Mechanism of Action  Clinical Comments  
Dolutegravir (DTG)  
[Green, et al. 2017]  • ETR induces UGT1A1 and CYP3A enzymes.  
• DTG is a substrate of UGT1A"
LEN,48,"ions. Do not use concomitantly 
unless boosted PI is also part of treatment regimen.  
Lenacapavir (LEN)  CYP3A4 and P -gP induction associated with concomitant HIV 
treatment potentially deceases LEN"
LEN,48,"ions. Do not use concomitantly 
unless boosted PI is also part of treatment regimen.  
Lenacapavir (LEN)  CYP3A4 and P -gP induction associated with concomitant HIV 
treatment potentially deceases LEN"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,48,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 48 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
COBI,48,"response.  
Abbreviations:  ADHD, attention -deficit/hyperactivity disorder; ARV, antiretroviral; COBI, cobicistat; CYP, cytochrome P450; DPP -4, dipeptidyl peptidase- 4; EFV, efavirenz; HCV, hepati"
EFV,48,"rder; ARV, antiretroviral; COBI, cobicistat; CYP, cytochrome P450; DPP -4, dipeptidyl peptidase- 4; EFV, efavirenz; HCV, hepatitis C 
virus; INR, international normalized ratio; NNRTI, non -nucleoside"
RTV,48,"criptase inhibitor; P- gP, P -glycoprotein; PDE5, phosphodiesterase type 5; PI, protease inhibitor; RTV, 
ritonavir; TDM, therapeutic drug monitoring; UGT, uridine diphosphate glucuronosyltransferase;"
ABC,49,"EE OCTOBER 7 , 2025 49 
 
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
Table 14: Abacavir (ABC) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ABC,49,"EE OCTOBER 7 , 2025 49 
 
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
Table 14: Abacavir (ABC) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ABC,49,"EE OCTOBER 7 , 2025 49 
 
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
Table 14: Abacavir (ABC) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ABC,49,"EE OCTOBER 7 , 2025 49 
 
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
Table 14: Abacavir (ABC) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ABC,49,"EE OCTOBER 7 , 2025 49 
 
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
Table 14: Abacavir (ABC) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ABC,49,"EE OCTOBER 7 , 2025 49 
 
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
Table 14: Abacavir (ABC) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ABC,49,"EE OCTOBER 7 , 2025 49 
 
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
Table 14: Abacavir (ABC) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ABC,49,"EE OCTOBER 7 , 2025 49 
 
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
Table 14: Abacavir (ABC) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TDF,49,"OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic anion transporter"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TDF,49,"OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic anion transporter"
TDF,49,"OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic anion transporter"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TDF,49,"OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic anion transporter"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TDF,49,"OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic anion transporter"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TDF,49,"OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic anion transporter"
TDF,49,"OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic anion transporter"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TAF,49,"ion by OAT1 and OAT3.  Cidofovir:  Avoid coadministration with nephrotoxic agents. 
Consider use of TAF in place of TDF and monitor for renal- related 
adverse effects. 
Abbreviations:  OAT, organic a"
TDF,50,"MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug"
TAF,50,"TEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
TAF,50,"TEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
TAF,50,"TEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
TAF,50,"TEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
TAF,50,"TEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
TAF,50,"TEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
TAF,50,"TEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
TAF,50,"TEE OCTOBER 7 , 2025 50 
 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
